Site,Season,Date,Box_Number,PIT LAST 6,Avg daily DO,Avg Temp,Status,T0_HB1,T0_HB2,Mean_T0HB,T60_HB1,T60_HB2,Mean_T60HB,D_HB,T0_Hct1,T0_Hct2,Mean_T0Hct,T60_Hct1,T60_Hct2,Mean_T60Hct,D_Hct,Sexual_Characteristics (0 - 3),TL(cm),Mass(g),Open Wounds (Y/N)?,Leeches_Total,Leech bites,sampling day
Buller Hatchery,2020,9/6/2020,307,557148,9.15,15.19,nester,7.8,8.5,8.15,9.8,10.1,9.95,1.8,24,28,26,37,37,37,11,2,NA,640,y,0,0,oviposition
Buller Hatchery,2020,9/6/2020,8,83242,9.15,15.19,nester,10.4,11.3,10.85,13.7,14.5,14.1,3.25,42,41,41.5,52,57,54.5,13,2,45.4,590,n,0,0,oviposition
Buller Hatchery,2020,9/6/2020,-344,557891,9.15,15.19,nester,11.1,10.8,10.95,11.1,11.3,11.2,0.25,38,39,38.5,48,49,48.5,10,2,48.2,620,n,0,0,oviposition
Buller Hatchery,2020,9/6/2020,341,914031,9.15,15.19,nester,11.8,12.7,12.25,16.9,17.1,17,4.75,48,48,48,61,59,60,12,2,47,580,n,0,0,oviposition
Buller Hatchery,2020,9/7/2020,325,565092,9.10,15.28,nester,9,9.2,9.1,12.6,13.8,13.2,4.1,35,34,34.5,48,51,49.5,15,2,39.2,340,n,1,0,oviposition
Thomas Bridge,2020,9/9/2020,-268,868832,8.85,17.17,nester,9.1,9.1,9.1,12,11.9,11.95,2.85,34,36,35,44,42,43,8,3,49.6,740,n,0,0,oviposition
762_Bridge,2020,9/9/2020,433,563915,8.92,17.81,nester,11.8,12.3,12.05,11.5,12,11.75,0.3,47,44,45.5,48,47,47.5,2,2,42.4,440,n,0,0,oviposition
762_Bridge,2020,9/9/2020,402,674701,8.92,17.81,nester,12.1,11.4,11.75,13.7,14,13.85,2.1,46,47,46.5,48,53,50.5,4,2,42.5,490,n,5,0,oviposition
Buller Hatchery,2020,9/10/2020,310,92271,8.92,16.54,nester,7.5,7.9,7.7,11.8,12.9,12.35,4.65,27,29,28,42,45,43.5,15.5,2,46.5,650,y,5,1,oviposition
762_Bridge,2020,9/11/2020,-138,434405,8.77,18.54,nester,7,7.1,7.05,11.6,11.2,11.4,4.35,31,32,31.5,41,42,41.5,10,2,41.6,420,n,45,159,oviposition
762_Bridge,2020,9/11/2020,528,564980,8.77,18.54,nester,9.2,10,9.6,12.9,12.8,12.85,3.25,NA,NA,NA,48,49,48.5,NA,2,39.9,410,n,0,0,oviposition
762_Bridge,2020,9/11/2020,-193,570A13,8.77,18.54,nester,12.1,12.1,12.1,11.7,12.6,12.15,0.05,42,41,41.5,48,49,48.5,7,2,47.8,620,y,1,2,oviposition
Thomas Bridge,2020,9/12/2020,-221,557083,8.63,17.90,nester,7.7,8.4,8.05,13.1,13.1,13.1,5.05,29,30,29.5,53,53,53,23.5,3,42.9,460,n,0,0,oviposition
Buller Hatchery,2020,9/12/2020,319,563905,8.70,16.96,nester,8.1,8.1,8.1,11.5,12,11.75,3.65,32,32,32,47,47,47,15,2,44.3,410,n,0,0,oviposition
Thomas Bridge,2020,9/12/2020,-337,563788,8.63,17.90,nester,8.3,9.6,8.95,11.1,12,11.55,2.6,33,34,33.5,45,48,46.5,13,2,45.6,475,y,0,0,oviposition
Thomas Bridge,2020,9/12/2020,-332,557769,8.63,17.90,nester,10.4,11.1,10.75,11.8,12.6,12.2,1.45,42,41,41.5,52,52,52,10.5,2,44.9,640,n,0,0,oviposition
Buller Hatchery,2020,9/13/2020,327,918420,8.84,16.75,nester,10.3,11.3,10.8,12.7,13.9,13.3,2.5,43,43,43,53,54,53.5,10.5,3,43.1,510,n,0,0,oviposition
Thomas Bridge,2020,9/13/2020,-96,565780,8.74,17.65,nester,10.5,11,10.75,11,12.2,11.6,0.85,39,38,38.5,58,53,55.5,17,3,42.8,440,n,0,0,oviposition
Buller Hatchery,2020,9/13/2020,328,80277,8.84,16.75,nester,10.9,11.2,11.05,12.8,13,12.9,1.85,39,42,40.5,52,51,51.5,11,2,43.4,450,n,0,0,oviposition
Thomas Bridge,2020,9/13/2020,338,565923,8.74,17.65,nester,13.6,13.3,13.45,13.5,13.3,13.4,0.05,52,51,51.5,56,58,57,5.5,2,41.4,425,y,0,0,oviposition
762_Bridge,2020,9/14/2020,424,981561,8.82,18.38,nester,7.6,7.6,7.6,11.3,10.8,11.05,3.45,28,29,28.5,45,47,46,17.5,2,42,500,n,2,3,oviposition
RiversideCC,2020,9/14/2020,431,567248,8.98,18.16,nester,10.5,10.5,10.5,10.8,12.3,11.55,1.05,41,39,40,47,46,46.5,6.5,3,37.1,305,y,12,5,oviposition
RiversideCC,2020,9/14/2020,151,83649,8.98,18.16,nester,10.8,11.7,11.25,12.7,13.4,13.05,1.8,37,38,37.5,50,53,51.5,14,2,45,480,n,0,,oviposition
RiversideCC,2020,9/15/2020,406,194035,8.98,18.16,nester,9.6,10.1,9.85,13,13.3,13.15,3.3,39,38,38.5,51,48,49.5,11,2,42.9,550,n,0,5,oviposition
Thomas Bridge,2020,9/15/2020,-334,567097,9.06,16.45,nester,10.3,10.4,10.35,12.9,12.7,12.8,2.45,37,37,37,49,40,44.5,7.5,2,45.4,450,n,0,0,oviposition
RiversideCC,2020,9/15/2020,530,567422,9.24,16.94,nester,11.5,12.7,12.1,14.4,13.2,13.8,1.7,45,42,43.5,53,57,55,11.5,2,41,400,n,0,0,oviposition
Thomas Bridge,2020,9/15/2020,-289,567111,9.06,16.45,nester,12.4,10.8,11.6,12.7,13.8,13.25,1.65,43,46,44.5,50,53,51.5,7,2,42.1,440,n,3,4,oviposition
762_Bridge,2020,9/22/2020,-21,659062,9.92,12.84,nester,7.8,7.3,7.55,12.7,12.8,12.75,5.2,29,29,29,54,53,53.5,24.5,2,43.6,540,n,0,2,oviposition
762_Bridge,2020,9/22/2020,-3,16829,9.92,12.84,nester,8.9,9.3,9.1,10.8,11.7,11.25,2.15,38,40,39,43,46,44.5,5.5,,46.5,630,y,3,3,oviposition
Thomas Bridge,2020,9/22/2020,430,566333,9.79,12.62,nester,9.5,10.9,10.2,11.3,11.9,11.6,1.4,40,40,40,47,48,47.5,7.5,2,41.8,430,y,1,0,oviposition
Buller Hatchery,2020,10/5/2020,307,557148,9.77,12.43,nester,6.1,6.7,6.4,8.6,8.9,8.75,2.35,25,28,26.5,38,35,36.5,10,2,48.8,NA,n,0,0,midincubation
Buller Hatchery,2020,10/5/2020,325,565092,9.77,12.43,nester,9.2,9.2,9.2,11.8,12.3,12.05,2.85,34,35,34.5,44,51,47.5,13,1,38.8,340,n,0,7,midincubation
Buller Hatchery,2020,10/5/2020,341,914031,9.77,12.43,nester,10.8,10,10.4,11.1,11.9,11.5,1.1,42,42,42,52,53,52.5,10.5,2,47.2,760,n,0,0,midincubation
Thomas Bridge,2020,10/7/2020,-268,868832,9.61,13.23,nester,11.8,11.9,11.85,12.3,10.7,11.5,0.35,44,46,45,45,48,46.5,1.5,1,48.5,720,y,0,0,midincubation
762_Bridge,2020,10/9/2020,-193,570A13,9.58,14.34,nester,5.9,6.5,6.2,9.5,9,9.25,3.05,28,29,28.5,42,43,42.5,14,1,48.5,650,y,2,1,midincubation
762_Bridge,2020,10/9/2020,433,563915,9.58,14.34,nester,8.4,9.1,8.75,10.4,10.9,10.65,1.9,42,44,43,48,46,47,4,1,42.7,510,n,0,0,midincubation
